date,forecast,lower,upper,year
2025-01-01,97196,75813,118579,2025
2025-02-01,93944,73276,114611,2025
2025-03-01,91237,71165,111310,2025
2025-04-01,89709,69973,109445,2025
2025-05-01,90017,70214,109821,2025
2025-06-01,92879,72445,113312,2025
2025-07-01,98543,76863,120222,2025
2025-08-01,106179,82819,129538,2025
2025-09-01,113873,88821,138925,2025
2025-10-01,119460,93179,145741,2025
2025-11-01,121646,94884,148408,2025
2025-12-01,120581,94053,147109,2025
2026-01-01,117507,91656,143359,2026
2026-02-01,113902,88844,138961,2026
2026-03-01,110871,86479,135263,2026
2026-04-01,109174,85156,133192,2026
2026-05-01,109556,85454,133659,2026
2026-06-01,112755,87949,137561,2026
2026-07-01,118972,92798,145146,2026
2026-08-01,127269,99270,155268,2026
2026-09-01,135595,105764,165426,2026
2026-10-01,141659,110494,172824,2026
2026-11-01,144079,112382,175777,2026
2026-12-01,142984,111527,174440,2026
2027-01-01,139665,108939,170391,2027
2027-02-01,135707,105851,165562,2027
2027-03-01,132351,103234,161468,2027
2027-04-01,130485,101778,159192,2027
2027-05-01,130941,102134,159748,2027
2027-06-01,134478,104893,164064,2027
2027-07-01,141248,110173,172323,2027
2027-08-01,150205,117160,183250,2027
2027-09-01,159164,124148,194181,2027
2027-10-01,165704,129249,202159,2027
2027-11-01,168358,131320,205397,2027
2027-12-01,167233,130441,204024,2027
2028-01-01,163669,127662,199676,2028
2028-02-01,159358,124299,194417,2028
2028-03-01,155677,121428,189926,2028
2028-04-01,153642,119841,187444,2028
2028-05-01,154172,120254,188090,2028
2028-06-01,158048,123277,192818,2028
2028-07-01,165370,128989,201751,2028
2028-08-01,174988,136491,213485,2028
2028-09-01,184580,143972,225187,2028
2028-10-01,191596,149445,233747,2028
2028-11-01,194484,151697,237270,2028
2028-12-01,193328,150796,235860,2028
2029-01-01,189519,147825,231213,2029
2029-02-01,184855,144187,225524,2029
2029-03-01,180849,141062,220636,2029
2029-04-01,178646,139344,217948,2029
2029-05-01,179250,139815,218685,2029
2029-06-01,183463,143101,223825,2029
2029-07-01,191338,149244,233433,2029
2029-08-01,201617,157261,245972,2029
2029-09-01,211841,165236,258447,2029
2029-10-01,219334,171081,267588,2029
2029-11-01,222456,173516,271396,2029
2029-12-01,221269,172590,269949,2029
2030-01-01,217216,169428,265003,2030
2030-02-01,212199,165515,258883,2030
2030-03-01,207868,162137,253599,2030
2030-04-01,205496,160287,250705,2030
2030-05-01,206174,160816,251532,2030
2030-06-01,210725,164366,257085,2030
2030-07-01,219153,170939,267367,2030
2030-08-01,230092,179472,280712,2030
2030-09-01,240949,187941,293958,2030
2030-10-01,248919,194157,303681,2030
2030-11-01,252274,196774,307774,2030
2030-12-01,251057,195825,306290,2030
2031-01-01,246759,192472,301045,2031
2031-02-01,241389,188283,294495,2031
2031-03-01,236733,184652,288814,2031
2031-04-01,234192,182670,285715,2031
2031-05-01,234944,183256,286632,2031
2031-06-01,239833,187070,292597,2031
2031-07-01,248814,194075,303553,2031
2031-08-01,260414,203123,317705,2031
2031-09-01,271904,212085,331722,2031
2031-10-01,280349,218673,342026,2031
2031-11-01,283939,221472,346405,2031
2031-12-01,282692,220499,344884,2031
2032-01-01,278148,216955,339340,2032
2032-02-01,272425,212492,332359,2032
2032-03-01,267444,208607,326282,2032
2032-04-01,264735,206493,322977,2032
2032-05-01,265561,207137,323984,2032
2032-06-01,270788,211215,330361,2032
2032-07-01,280321,218651,341992,2032
2032-08-01,292582,228214,356949,2032
2032-09-01,304704,237669,371739,2032
2032-10-01,313626,244629,382624,2032
2032-11-01,317449,247610,387288,2032
2032-12-01,316172,246614,385730,2032
2033-01-01,311383,242879,379888,2033
2033-02-01,305308,238140,372476,2033
2033-03-01,300002,234002,366002,2033
2033-04-01,297124,231757,362491,2033
2033-05-01,298024,232458,363589,2033
2033-06-01,303589,236799,370378,2033
2033-07-01,313675,244666,382683,2033
2033-08-01,326596,254745,398447,2033
2033-09-01,339351,264694,414008,2033
2033-10-01,348750,272025,425475,2033
2033-11-01,352806,275189,430424,2033
2033-12-01,351499,274169,428829,2033
2034-01-01,346465,270243,422687,2034
2034-02-01,340037,265229,414845,2034
2034-03-01,334406,260837,407975,2034
2034-04-01,331359,258460,404258,2034
2034-05-01,332333,259220,405446,2034
2034-06-01,338236,263824,412648,2034
2034-07-01,348875,272122,425627,2034
2034-08-01,362456,282716,442197,2034
2034-09-01,375844,293159,458530,2034
2034-10-01,385719,300861,470578,2034
2034-11-01,390010,304208,475812,2034
2034-12-01,388672,303164,474180,2034
2035-01-01,383393,299047,467740,2035
2035-02-01,376612,293757,459467,2035
2035-03-01,370656,289112,452201,2035
2035-04-01,367441,286604,448278,2035
2035-05-01,368488,287421,449556,2035
2035-06-01,374729,292289,457170,2035
2035-07-01,385921,301018,470824,2035
2035-08-01,400163,312127,488199,2035
2035-09-01,414184,323063,505304,2035
2035-10-01,424535,331138,517933,2035
2035-11-01,429060,334667,523453,2035
2035-12-01,427692,333599,521784,2035
2036-01-01,422168,329291,515044,2036
2036-02-01,415034,323726,506341,2036
2036-03-01,408753,318827,498678,2036
2036-04-01,405368,316187,494550,2036
