Year,Forecast,Lower,Upper,Forecast_M,GBR_M
2025,1235264,963505,1507021,1.24,1.24
2026,1484323,1157773,1810876,1.48,1.48
2027,1755539,1369320,2141759,1.76,1.76
2028,2048912,1598151,2499671,2.05,2.05
2029,2364437,1844262,2884616,2.36,2.36
2030,2702122,2107657,3296589,2.7,2.7
2031,3061962,2388330,3735593,3.06,3.06
2032,3443955,2686286,4201625,3.44,3.44
2033,3848107,3001523,4694690,3.85,3.85
2034,4274412,3334043,5214783,4.27,4.27
2035,4722874,3683842,5761909,4.72,4.72
2036,5193493,4050923,6336060,5.19,5.19
2037,5686264,4435286,6937244,5.69,5.69
2038,6201194,4836931,7565459,6.2,6.2
2039,6738278,5255858,8220700,6.74,6.74
2040,7297519,5692066,8902974,7.3,7.3
2041,7878916,6145555,9612278,7.88,7.88
2042,8482467,6616326,10348611,8.48,8.48
2043,9108174,7104376,11111974,9.11,9.11
2044,9756039,7609711,11902368,9.76,9.76
2045,10426058,8132325,12719791,10.43,10.43
2046,11118233,8672220,13564243,11.12,11.12
2047,11832562,9229402,14435728,11.83,11.83
2048,12569050,9803859,15334240,12.57,12.57
2049,13327694,10395602,16259786,13.33,13.33
2050,14108491,11004621,17212360,14.11,14.11
